minutes,biomass
0,31.5575211589
60,36.7433357747
120,35.3115779622
900,45.3678157552
960,44.9519669596
1020,45.7570947266
1080,50.3264412435
1140,54.6544099935
1205,61.2473917643
1260,62.1764444987
1320,68.4058422852
1380,67.6855126953
1440,68.4875138346
1500,70.6777864583
1560,71.5421280924
2340,115.905710449
2400,101.962022298
2460,102.799836426
2520,115.381419271
2580,123.09352946
2640,118.195327148
2700,119.296040853
2760,125.331909993
2820,130.045596517
2880,125.017622884
2940,136.844440918
3000,142.131357422
3780,169.29980957
3840,167.878629557
3900,168.39210612
3960,177.142087402
4020,179.35630778
4080,170.184438477
4140,170.70613444
4200,170.361408691
4260,169.897728678
4320,172.945032552
4380,165.704685872
4440,167.38484375
5220,206.190674642
5280,211.232970378
5340,208.842704264
5400,203.406441243
5460,203.533308105
5520,209.289091797
5580,204.193760579
5640,202.091201986
5700,203.489643555
5760,205.283635254
5820,192.387692057
5880,195.890478516
6660,207.534750977
6720,214.420368652
6780,212.909934082
6840,213.120188802
6900,206.522399902
6960,209.329489746
7020,211.17102946
7080,210.423680013
7140,211.408234863
7200,216.03902181
7260,216.000106608
7320,215.091046549
8100,223.726852214
8160,216.794211426
8220,212.181047363
8280,222.072803548
8340,219.241394043
8400,215.738717448
8460,220.393485514
8520,216.972504883
8580,219.809506022
8640,221.235904948
8700,214.04888916
8760,222.384457194
9540,225.248112793
9600,221.054984538
9660,224.653055827
9720,227.482231445
9780,221.663989258
9840,221.925043132
9900,219.616977539
9960,220.987884928
10020,216.45547526
10080,214.842833659
10140,219.681955566
10200,219.174448242
10980,218.904717611
11040,211.69032959
11100,213.506629232
11160,211.146308594
11220,135.81633138
11280,28.9226025391
11340,25.8368806966
11400,91.9080175781
11460,89.1403181966
11520,91.2991902669
11580,93.6341935221
11640,92.5815299479
12420,87.715559082
