minutes,values
0,201.346578776
60,197.737462836
120,198.31844401
900,189.961789551
960,189.068840332
1020,188.011156413
1080,185.30065918
1140,183.212867567
1205,182.109417589
1260,179.956250814
1320,176.316713053
1380,175.522173394
1440,174.104047852
1500,172.175671387
1560,171.695696615
2340,153.974749891
2400,158.661036784
2460,153.851107856
2520,154.38708686
2580,149.231013726
2640,147.879400228
2700,146.358850911
2760,143.421616211
2820,142.132135688
2880,141.161205783
2940,139.042572428
3000,135.547549913
3780,126.986224772
3840,125.753285319
3900,124.748440213
3960,122.132484809
4020,120.246427138
4080,121.786636013
4140,120.658397081
4200,120.205786675
4260,119.41875434
4320,119.11590332
4380,119.149033746
4440,117.867648655
5220,112.456569282
5280,110.859228516
5340,111.738954536
5400,114.567698296
5460,113.078861491
5520,112.630561523
5580,113.438845486
5640,113.266739366
5700,112.315668132
5760,111.316347114
5820,114.08851454
5880,113.259790582
6660,112.237263997
6720,111.602165527
6780,113.092662489
6840,114.497399089
6900,115.682050781
6960,115.033565538
7020,114.465487739
7080,113.363846571
7140,112.68042372
7200,110.502822537
7260,110.140564779
7320,110.224174805
8100,110.74396186
8160,113.894404026
8220,113.600074327
8280,111.609418945
8340,112.040726454
8400,112.195007867
8460,113.036033257
8520,113.763968913
8580,113.207434896
8640,111.781111925
8700,112.616621636
8760,110.825455187
9540,112.580572374
9600,113.970805935
9660,112.674841851
9720,111.723145616
9780,113.525759277
9840,113.232825521
9900,113.311181098
9960,113.182800836
10020,113.903806152
10080,114.255320638
10140,111.507016602
10200,111.452671984
10980,113.053513455
11040,115.061110569
11100,115.139813911
11160,114.870269097
11220,95.9102042643
11280,84.975659451
11340,88.9333992513
11400,87.4132137044
11460,89.0366501194
11520,86.879676378
11580,86.857879503
11640,87.3898003472
12420,90.3621223958
