minutes,values
0,198.62645051792578
60,199.4401689418067
120,199.99505001741218
900,189.94096464823667
960,188.32289038822077
1020,186.6532312856771
1080,184.9458041743224
1140,183.21442588787306
1205,181.327762863513
1260,179.73508312455658
1320,178.01475231512248
1380,176.3257376654598
1440,174.68185600928513
1500,173.09692418031494
1560,171.58122124012797
2340,155.12739056618216
2400,153.85239197227554
2460,152.53901305263085
2520,151.17984400813748
2580,149.76747503968483
2640,148.2988448511305
2700,146.7882861582051
2760,145.25448017960736
2820,143.71610813403626
2880,142.19185124019046
2940,140.70039071676885
3000,139.25714266702488
3780,124.7655679726364
3840,123.9475114034045
3900,123.16729031369417
3960,122.42399522953194
4020,121.71671667694447
4080,121.04454518195828
4140,120.4065712706
4200,119.80188546889615
4260,119.22957830287328
4320,118.68874029855803
4380,118.17846198197695
4440,117.69783387915656
5220,113.73402733680848
5280,113.5730074594284
5340,113.42799568620765
5400,113.29808254317277
5460,113.18235855635037
5520,113.07991425176698
5580,112.98984015544917
5640,112.91122679342357
5700,112.84316469171671
5760,112.78474437635516
5820,112.73505637336552
5880,112.69319120877432
6660,112.63591513106653
6720,112.65510733275562
6780,112.67570278839092
6840,112.6973079186525
6900,112.71952914422045
6960,112.74197288577483
7020,112.76424556399573
7080,112.78595359956327
7140,112.80670341315749
7200,112.82610142545852
7260,112.84375405714637
7320,112.85926772890117
8100,112.68722151724337
8160,112.6317876673684
8220,112.57025364390725
8280,112.50416834368563
8340,112.43508066352932
8400,112.36453950026403
8460,112.29409375071542
8520,112.22529231170928
8580,112.15968408007132
8640,112.09881795262724
8700,112.0442428262028
8760,111.99750759762374
9540,112.80812838572665
9600,113.02854124144945
9660,113.2485595339994
9720,113.4382642467981
9780,113.56773636326729
9840,113.60705686682853
9900,113.52630674090351
9960,113.30530371105687
10020,112.96281247142502
10080,112.52733445828737
10140,112.02737110792334
10200,111.49142385661233
10980,114.2177281105263
11040,115.73378784681108
11100,115.02016997543231
11160,109.48416068176155
11220,98.4774158747509
11280,89.12907035767347
11340,87.22412880655432
11400,87.16859760928692
11460,87.17998776366431
11520,87.25081138266151
11580,87.37358057925357
11640,87.54080746641547
12420,90.35341824501619
